Time;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
05_02_2023_15_36_05;33.498666666666665;88.906;0.0;37.0;61.0;92.98466666666667;92.0;89.0;0.0;0.0;58.0;67.132;97.0;94.35933333333334;94.26333333333334;76.014;75.898;84.05333333333333
05_02_2023_15_41_05;33.602666666666664;88.99066666666667;0.0;37.0;61.0;92.99066666666667;92.0;89.0;0.0;0.0;58.0;67.12666666666667;97.0;94.37266666666666;94.28;76.018;75.93133333333333;84.04933333333334
05_02_2023_15_46_05;33.45;89.07533333333333;0.0;37.0;61.0;92.99333333333334;92.0;89.0;0.0;0.0;58.0;67.12666666666667;97.0;93.99533333333333;94.00533333333334;76.0;75.968;84.056
05_02_2023_15_51_05;33.304;89.096;0.0;37.0;61.0;92.99466666666666;92.0;89.0;0.0;0.0;58.0;67.07866666666666;97.0;94.06933333333333;94.036;76.00133333333333;75.958;84.06066666666666
05_02_2023_15_56_05;33.32933333333333;89.07666666666667;0.0;37.0;61.0;92.994;92.0;89.0;0.0;0.0;58.0;67.07;97.0;94.0;94.0;76.0;75.984;84.06066666666666
05_02_2023_16_01_04;33.258;89.02266666666667;0.0;37.0;61.0;92.988;92.0;89.0;0.0;0.0;58.0;67.05066666666667;97.0;93.99733333333333;94.0;76.0;75.99066666666667;84.06333333333333
05_02_2023_16_06_04;33.118;89.074;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.04;97.0;93.97333333333333;94.0;76.0;75.99866666666667;84.1
05_02_2023_16_11_05;33.10666666666667;89.24066666666667;0.0;37.0;61.0;92.994;92.0;89.0;0.0;0.0;58.0;67.038;97.0;94.0;94.0;76.0;75.992;84.072
05_02_2023_16_16_05;33.358666666666664;89.20533333333333;0.0;37.0;61.0;92.99666666666667;92.0;89.0;0.0;0.0;58.0;67.04733333333333;97.0;94.0;94.0;76.0;75.99733333333333;84.07
05_02_2023_16_21_05;33.44733333333333;89.27133333333333;0.0;37.0;61.0;92.996;92.0;89.0;0.0;0.0;58.0;67.048;97.0;93.98933333333333;94.0;76.0;75.99866666666667;84.11266666666667
05_02_2023_16_26_05;33.584;89.22466666666666;0.0;37.0;61.0;92.99533333333333;92.0;89.0;0.0;0.0;58.0;67.06333333333333;97.0;93.968;94.0;76.0;75.99866666666667;84.106
05_02_2023_16_31_05;33.736666666666665;89.18333333333334;0.0;37.0;61.0;92.994;92.0;89.0;0.0;0.0;58.0;67.06533333333333;97.0;93.99133333333333;94.0;76.0;75.99866666666667;84.08
05_02_2023_16_36_05;35.79266666666667;88.138;0.0;37.0;61.0;92.92333333333333;92.0;89.0;0.0;0.0;58.0;67.038;97.0;93.98933333333333;94.0;76.0;76.0;84.04533333333333
05_02_2023_16_41_04;36.31066666666667;87.89933333333333;0.0;37.0;61.0;92.94066666666667;92.0;89.0;0.0;0.0;58.0;67.076;97.0;93.99733333333333;94.0;76.0;75.99066666666667;84.028
05_02_2023_16_46_04;36.364;88.072;0.0;37.0;61.0;92.94466666666666;92.0;89.0;0.0;0.0;58.0;67.08;97.0;94.0;94.0;76.0;75.99466666666666;84.01666666666667
05_02_2023_16_51_04;36.08733333333333;88.14933333333333;0.0;37.0;61.0;92.95666666666666;92.0;89.0;0.0;0.0;58.0;67.11866666666667;97.0;93.994;94.0;76.0;76.0;84.036
05_02_2023_16_56_05;36.14266666666666;88.24733333333333;0.0;37.0;61.0;92.96133333333333;92.0;89.0;0.0;0.0;58.0;67.102;97.0;94.0;94.0;76.0;75.988;84.024
05_02_2023_17_01_05;35.958;88.30666666666667;0.0;37.0;61.0;92.97066666666667;92.0;89.0;0.0;0.0;58.0;67.132;97.0;94.0;94.0;76.0;75.99466666666666;84.02666666666667
05_02_2023_17_06_05;35.878;88.474;0.0;37.0;61.0;92.97266666666667;92.0;89.0;0.0;0.0;58.0;67.19533333333334;97.0;94.0;94.0;76.0;75.996;84.01133333333334
05_02_2023_17_11_05;35.99666666666667;88.474;0.0;37.0;61.0;92.976;92.0;89.0;0.0;0.0;58.0;67.16666666666667;97.0;94.0;94.0;76.0;75.992;84.02066666666667
05_02_2023_17_16_05;36.04333333333334;88.50933333333333;0.0;37.0;61.0;92.988;92.0;89.0;0.0;0.0;58.0;67.11;97.0;94.0;94.0;76.00066666666666;75.976;84.00733333333334
05_02_2023_17_21_04;36.19533333333333;88.54066666666667;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.05533333333334;97.0;94.0;94.0;76.0;75.99333333333334;84.02
05_02_2023_17_26_04;35.914;88.67266666666667;0.0;37.0;61.0;92.99266666666666;92.0;89.0;0.0;0.0;58.0;67.06866666666667;97.0;94.0;94.0;76.0;75.99466666666666;84.03333333333333
05_02_2023_17_31_04;35.766666666666666;88.57066666666667;0.0;37.0;61.0;92.97466666666666;92.0;89.0;0.0;0.0;58.0;67.10466666666666;97.0;93.99733333333333;94.0;76.0;75.99733333333333;84.04666666666667
05_02_2023_17_36_05;35.537333333333336;88.71266666666666;0.0;37.0;61.0;92.99066666666667;92.0;89.0;0.0;0.0;58.0;67.17866666666667;97.0;94.0;94.0;76.0;75.996;84.04666666666667
05_02_2023_17_41_05;35.80266666666667;88.78;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.146;97.0;94.0;94.0;76.0;75.98533333333333;84.03333333333333
05_02_2023_17_46_05;35.931333333333335;88.60333333333334;0.0;37.0;61.0;92.97466666666666;92.0;89.0;0.0;0.0;58.0;67.098;97.0;94.0;94.0;76.0;75.988;84.01666666666667
05_02_2023_17_51_05;35.68533333333333;88.572;0.0;37.0;61.0;92.982;92.0;89.0;0.0;0.0;58.0;67.11666666666666;97.0;94.0;94.0;76.0;76.0;84.03
05_02_2023_17_56_05;35.686;88.584;0.0;37.0;61.0;92.992;92.0;89.0;0.0;0.0;58.0;67.10533333333333;97.0;94.0;94.0;76.0;75.992;84.032
05_02_2023_18_01_04;35.74133333333333;88.61666666666666;0.0;37.0;61.0;92.98866666666666;92.0;89.0;0.0;0.0;58.0;67.128;97.0;94.0;94.0;76.0;75.996;84.022
05_02_2023_18_06_04;35.61333333333334;88.728;0.0;37.0;61.0;92.98333333333333;92.0;89.0;0.0;0.0;58.0;67.14;97.0;93.992;94.0;76.0;75.99733333333333;84.06533333333333
05_02_2023_18_11_05;35.422666666666665;88.59066666666666;0.0;37.0;61.0;92.978;92.0;89.0;0.0;0.0;58.0;67.26333333333334;97.0;93.97866666666667;94.0;76.0;75.99733333333333;84.03666666666666
05_02_2023_18_16_05;35.50866666666667;88.80866666666667;0.0;37.0;61.0;92.98533333333333;92.0;89.0;0.0;0.0;58.0;67.32133333333333;97.0;93.992;94.0;76.0;75.996;84.01333333333334
05_02_2023_18_21_05;35.656666666666666;88.62533333333333;0.0;37.0;61.0;92.994;92.0;89.0;0.0;0.0;58.0;67.282;97.0;94.0;94.0;76.0;75.992;84.006
05_02_2023_18_26_05;35.541333333333334;88.654;0.0;37.0;61.0;92.986;92.0;89.0;0.0;0.0;58.0;67.18133333333333;97.0;93.99466666666666;94.0;76.0;75.99333333333334;84.03866666666667
05_02_2023_18_31_05;35.64333333333333;88.762;0.0;37.0;61.0;92.96666666666667;92.0;89.0;0.0;0.0;58.0;67.08;97.0;93.96533333333333;94.0;76.0;75.99733333333333;84.06133333333334
05_02_2023_18_36_05;35.714666666666666;88.57133333333333;0.0;37.0;61.0;92.98666666666666;92.0;89.0;0.0;0.0;58.0;67.084;97.0;93.992;94.0;76.0;75.99733333333333;84.05333333333333
05_02_2023_18_41_04;35.513333333333335;88.70333333333333;0.0;37.0;61.0;92.988;92.0;89.0;0.0;0.0;58.0;67.17933333333333;97.0;93.98666666666666;94.0;76.0;76.0;84.05733333333333
05_02_2023_18_46_04;35.61866666666667;88.692;0.0;37.0;61.0;92.98466666666667;92.0;89.0;0.0;0.0;58.0;67.346;97.0;93.98933333333333;94.0;76.0;76.0;84.07
05_02_2023_18_51_04;35.465333333333334;88.526;0.0;37.0;61.0;92.988;92.0;89.0;0.0;0.0;58.0;67.376;97.0;93.994;94.0;76.0;75.99866666666667;84.012
05_02_2023_18_56_05;35.483333333333334;88.59466666666667;0.0;37.0;61.0;92.97933333333333;92.0;89.0;0.0;0.0;58.0;67.30666666666667;97.0;94.0;94.0;76.0;75.996;84.01266666666666
05_02_2023_19_01_05;35.552;88.52;0.0;37.0;61.0;92.984;92.0;89.0;0.0;0.0;58.0;67.192;97.0;93.984;94.0;76.0;75.996;84.052
05_02_2023_19_06_05;35.501333333333335;88.60266666666666;0.0;37.0;61.0;92.98066666666666;92.0;89.0;0.0;0.0;58.0;67.14666666666666;97.0;93.992;94.0;76.0;75.99466666666666;84.04533333333333
05_02_2023_19_11_05;35.638;88.56066666666666;0.0;37.0;61.0;92.98133333333334;92.0;89.0;0.0;0.0;58.0;67.22;97.0;93.99733333333333;94.0;76.0;75.99866666666667;84.04133333333333
05_02_2023_19_16_05;35.764;88.75866666666667;0.0;37.0;61.0;92.98266666666666;92.0;89.0;0.0;0.0;58.0;67.444;97.0;94.0;94.0;76.0;75.99733333333333;84.04733333333333
05_02_2023_19_21_04;35.47866666666667;88.822;0.0;37.0;61.0;92.982;92.0;89.0;0.0;0.0;58.0;67.59133333333334;97.0;94.0;94.0;76.0;75.99733333333333;84.002
05_02_2023_19_26_04;35.492;88.744;0.0;37.0;61.0;92.996;92.0;89.0;0.0;0.0;58.0;67.60933333333334;97.0;94.0;94.0;76.0;75.992;83.98866666666666
05_02_2023_19_31_04;35.57266666666667;88.61533333333334;0.0;37.0;61.0;92.98333333333333;92.0;89.0;0.0;0.0;58.0;67.52;97.0;94.0;94.0;76.0;75.99333333333334;83.998
05_02_2023_19_36_05;35.428;88.63666666666667;0.0;37.0;61.0;92.98333333333333;92.0;89.0;0.0;0.0;58.0;67.46733333333333;97.0;94.0;94.0;76.0;75.99466666666666;84.004
05_02_2023_19_41_05;35.522666666666666;88.78266666666667;0.0;37.0;61.0;92.998;92.0;89.0;0.0;0.0;58.0;67.44066666666667;97.0;94.0;94.0;76.0;75.98666666666666;84.00066666666666
